service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SERVICE_WD,1,1,1,1,1,0,0,20260101,20261231
SERVICE_WE,0,0,0,0,0,1,0,20260101,20261231
SERVICE_PH,0,0,0,0,0,0,1,20260101,20261231
SERVICE_WD_SK_WI_20261019_20261231,1,1,1,1,1,0,0,20261019,20261231
SERVICE_WE_SK_WI_20261019_20261231,0,0,0,0,0,1,0,20261019,20261231
SERVICE_PH_SK_WI_20261019_20261231,0,0,0,0,0,0,1,20261019,20261231
SERVICE_WD_TEL_20260705_20261231,1,1,1,1,1,0,0,20260705,20261231
SERVICE_WE_TEL_20260705_20261231,0,0,0,0,0,1,0,20260705,20261231
SERVICE_PH_TEL_20260705_20261231,0,0,0,0,0,0,1,20260705,20261231
SERVICE_WD_DTL_20260906_20261231,1,1,1,1,1,0,0,20260906,20261231
SERVICE_WE_DTL_20260906_20261231,0,0,0,0,0,1,0,20260906,20261231
SERVICE_PH_BP,0,0,0,0,0,0,1,20260101,20261231
