route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
NSL,SMRT,NS,North-South Line,1,D62821,FFFFFF
EWL,SMRT,EW,East-West Line,1,189E4A,FFFFFF
EWL_CGL,SMRT,CG,East-West Line,1,189E4A,FFFFFF
NEL,SBST,NE,North-East Line,1,844184,FFFFFF
CCL_DBG_SDM,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_DBG_PER,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_LOOP,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_MBT_PMN_1ST_TRAIN,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_BLY_PMN_1ST_TRAIN,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_KRG_PMN_1ST_TRAIN,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_HBF_PMN_1ST_TRAIN,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_PPJ_PMN_1ST_TRAIN,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_CDT_PMN_1ST_TRAIN,SMRT,CC,Circle Line,1,F2AD27,000000
CCL_TSG_PMN_1ST_TRAIN,SMRT,CC,Circle Line,1,F2AD27,000000
DTL,SBST,DT,Downtown Line,1,0354A6,FFFFFF
TEL,SMRT,TE,Thomson-East Coast Line,1,9D5A25,FFFFFF
BP,SMRT,BP,Bukit Panjang LRT,0,6E8270,FFFFFF
SK,SBST,SK,Sengkang LRT,0,6E8270,FFFFFF
PG,SBST,PG,Punggol LRT,0,6E8270,FFFFFF
