stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,platform_code,parent_station
NS1_A,NS1,Jurong East,1.33320902,103.742263,0,A / D / E,EW24
NS1_B,NS1,Jurong East,1.33320902,103.742263,0,A / D / E,EW24
NS2,NS2,Bukit Batok,1.34899665,103.749541,1,,
NS2_A,NS2,Bukit Batok,1.34899665,103.749541,0,A,NS2
NS2_B,NS2,Bukit Batok,1.34899665,103.749541,0,B,NS2
NS2_EA,NS2,A,1.349561075,103.749974,2,,NS2
NS2_EB,NS2,B,1.349389588,103.749937,2,,NS2
NS2_EC,NS2,C,1.349520061,103.7497666,2,,NS2
NS2_ED,NS2,D,1.348405376,103.7491184,2,,NS2
NS3,NS3,Bukit Gombak,1.35867192,103.75191,1,,
NS3_A,NS3,Bukit Gombak,1.35867192,103.75191,0,A,NS3
NS3_B,NS3,Bukit Gombak,1.35867192,103.75191,0,B,NS3
NS3_EA,NS3,A,1.359069846,103.7520764,2,,NS3
NS3_EB,NS3,B,1.358695261,103.752093,2,,NS3
NS3_EC,NS3,C,1.35906498,103.7517266,2,,NS3
NS3_ED,NS3,D,1.359297853,103.751951,2,,NS3
NS4,NS4,Choa Chu Kang,1.38517205,103.744369,1,,
NS4_A,NS4,Choa Chu Kang,1.38517205,103.744369,0,A,NS4
NS4_B,NS4,Choa Chu Kang,1.38517205,103.744369,0,B,NS4
NS4_EA,NS4,A,1.385431281,103.7445571,2,,NS4
NS4_EB,NS4,B,1.3846,103.74447,2,,NS4
NS4_EC,NS4,C,1.385736185,103.7445178,2,,NS4
NS4_ED,NS4,D,1.38537,103.74411,2,,NS4
NS5,NS5,Yew Tee,1.39754963,103.747402,1,,
NS5_A,NS5,Yew Tee,1.39754963,103.747402,0,A,NS5
NS5_B,NS5,Yew Tee,1.39754963,103.747402,0,B,NS5
NS5_EA,NS5,A,1.397655479,103.7471952,2,,NS5
NS5_EB,NS5,B,1.398067768,103.7473299,2,,NS5
NS5_EC,NS5,C,1.397000772,103.7474319,2,,NS5
NS5_ED,NS5,D,1.397272512,103.7471114,2,,NS5
NS7,NS7,Kranji,1.42512381,103.762145,1,,
NS7_A,NS7,Kranji,1.42512381,103.762145,0,A,NS7
NS7_B,NS7,Kranji,1.42512381,103.762145,0,B,NS7
NS7_EA,NS7,A,1.424739171,103.7620185,2,,NS7
NS7_EB,NS7,B,1.424852645,103.7619406,2,,NS7
NS7_EC,NS7,C,1.425125949,103.7617547,2,,NS7
NS7_ED,NS7,D,1.425124959,103.7624968,2,,NS7
NS8,NS8,Marsiling,1.43263375,103.774234,1,,
NS8_A,NS8,Marsiling,1.43263375,103.774234,0,A,NS8
NS8_B,NS8,Marsiling,1.43263375,103.774234,0,B,NS8
NS8_EA,NS8,A,1.432801694,103.7742105,2,,NS8
NS8_EB,NS8,B,1.432751372,103.7744105,2,,NS8
NS8_EC,NS8,C,1.432469522,103.7738205,2,,NS8
NS8_ED,NS8,D,1.432751361,103.7739971,2,,NS8
NS9,NS9,Woodlands,1.43683116,103.786164,1,,
NS9_A,NS9,Woodlands,1.43683116,103.786164,0,A,NS9
NS9_B,NS9,Woodlands,1.43683116,103.786164,0,B,NS9
NS9_E1,NS9,1,1.436696875,103.7857356,2,,NS9
NS9_E2,NS9,2,1.436673115,103.7865081,2,,NS9
NS9_E3,NS9,3,1.437243367,103.7871082,2,,NS9
NS9_E4,NS9,4,1.437540374,103.7880055,2,,NS9
NS9_E5,NS9,5,1.435843936,103.7889643,2,,NS9
NS9_E6,NS9,6,1.434815175,103.7890891,2,,NS9
NS9_E7,NS9,7,1.434495526,103.7879768,2,,NS9
NS10,NS10,Admiralty,1.44058709,103.800977,1,,
NS10_A,NS10,Admiralty,1.44058709,103.800977,0,A,NS10
NS10_B,NS10,Admiralty,1.44058709,103.800977,0,B,NS10
NS10_EA,NS10,A,1.440345661,103.8009895,2,,NS10
NS10_EB,NS10,B,1.440152397,103.8005335,2,,NS10
NS10_EC,NS10,C,1.440596286,103.8005425,2,,NS10
NS10_ED,NS10,D,1.440533388,103.8013645,2,,NS10
NS11,NS11,Sembawang,1.44906963,103.820194,1,,
NS11_A,NS11,Sembawang,1.44906963,103.820194,0,A,NS11
NS11_B,NS11,Sembawang,1.44906963,103.820194,0,B,NS11
NS11_EA,NS11,A,1.448837319,103.8201097,2,,NS11
NS11_EB,NS11,B,1.44876826,103.8197902,2,,NS11
NS11_EC,NS11,C,1.449156837,103.819759,2,,NS11
