YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-07,WEEKDAY,22,BUS,77291,54,815
2026-07,WEEKENDS/HOLIDAY,0,BUS,54629,0,43
2026-07,WEEKDAY,12,BUS,24341,193,13
2026-07,WEEKDAY,19,BUS,47541,390,979
2026-07,WEEKENDS/HOLIDAY,11,BUS,25359,10,0
2026-07,WEEKENDS/HOLIDAY,19,BUS,46761,321,435
2026-07,WEEKENDS/HOLIDAY,17,BUS,66421,291,947
2026-07,WEEKENDS/HOLIDAY,16,BUS,75539,123,345
2026-07,WEEKDAY,16,BUS,25381,6,3
2026-07,WEEKENDS/HOLIDAY,6,BUS,27219,7,56
2026-07,WEEKENDS/HOLIDAY,18,BUS,11151,558,329
2026-07,WEEKDAY,22,BUS,60071,178,57
2026-07,WEEKDAY,6,BUS,28071,588,42
2026-07,WEEKENDS/HOLIDAY,22,BUS,84669,166,192
2026-07,WEEKDAY,20,BUS,70161,370,741
2026-07,WEEKDAY,18,BUS,34049,1,0
2026-07,WEEKDAY,15,BUS,80039,266,251
2026-07,WEEKDAY,20,BUS,75609,219,157
2026-07,WEEKENDS/HOLIDAY,23,BUS,65801,19,48
2026-07,WEEKDAY,14,BUS,71119,917,1034
2026-07,WEEKENDS/HOLIDAY,5,BUS,58549,2,0
2026-07,WEEKENDS/HOLIDAY,15,BUS,25259,1,1
2026-07,WEEKENDS/HOLIDAY,10,BUS,84101,429,269
2026-07,WEEKDAY,16,BUS,54039,1135,715
2026-07,WEEKENDS/HOLIDAY,6,BUS,44791,23,30
2026-07,WEEKDAY,19,BUS,64211,24,22
2026-07,WEEKDAY,8,BUS,75401,487,924
2026-07,WEEKENDS/HOLIDAY,0,BUS,44451,46,24
2026-07,WEEKENDS/HOLIDAY,12,BUS,21509,31,8
2026-07,WEEKENDS/HOLIDAY,15,BUS,16121,25,13
2026-07,WEEKDAY,16,BUS,43201,384,404
2026-07,WEEKDAY,19,BUS,16141,446,21
2026-07,WEEKENDS/HOLIDAY,16,BUS,63301,455,192
2026-07,WEEKENDS/HOLIDAY,7,BUS,28311,219,105
2026-07,WEEKENDS/HOLIDAY,19,BUS,84439,68,39
2026-07,WEEKDAY,18,BUS,09059,3160,1963
2026-07,WEEKDAY,7,BUS,70309,1048,3803
2026-07,WEEKDAY,9,BUS,59161,343,1128
2026-07,WEEKENDS/HOLIDAY,11,BUS,24149,2,4
2026-07,WEEKENDS/HOLIDAY,11,BUS,21129,1,3
2026-07,WEEKENDS/HOLIDAY,22,BUS,92209,14,134
2026-07,WEEKENDS/HOLIDAY,16,BUS,05319,8,56
2026-07,WEEKENDS/HOLIDAY,1,BUS,66149,3,1
2026-07,WEEKENDS/HOLIDAY,22,BUS,24511,8,6
2026-07,WEEKDAY,0,BUS,47061,1,12
2026-07,WEEKENDS/HOLIDAY,13,BUS,05269,442,763
2026-07,WEEKDAY,20,BUS,23489,11,892
2026-07,WEEKDAY,20,BUS,65549,400,240
2026-07,WEEKENDS/HOLIDAY,18,BUS,43291,36,115
2026-07,WEEKENDS/HOLIDAY,11,BUS,27601,59,5
2026-07,WEEKENDS/HOLIDAY,23,BUS,02151,586,53
2026-07,WEEKENDS/HOLIDAY,18,BUS,18121,54,107
2026-07,WEEKENDS/HOLIDAY,17,BUS,67271,172,199
2026-07,WEEKENDS/HOLIDAY,17,BUS,49091,0,80
2026-07,WEEKENDS/HOLIDAY,6,BUS,59189,91,35
2026-07,WEEKENDS/HOLIDAY,20,BUS,82109,739,176
2026-07,WEEKENDS/HOLIDAY,16,BUS,66709,24,148
2026-07,WEEKDAY,17,BUS,27409,867,1816
2026-07,WEEKDAY,5,BUS,43139,122,20
2026-07,WEEKENDS/HOLIDAY,9,BUS,25531,3,1
2026-07,WEEKDAY,19,BUS,75281,699,3162
2026-07,WEEKENDS/HOLIDAY,6,BUS,62099,28,12
2026-07,WEEKDAY,17,BUS,24049,3272,7
2026-07,WEEKENDS/HOLIDAY,5,BUS,21719,24,1
2026-07,WEEKENDS/HOLIDAY,10,BUS,15049,136,412
2026-07,WEEKENDS/HOLIDAY,0,BUS,76141,289,95
2026-07,WEEKENDS/HOLIDAY,8,BUS,53311,43,37
2026-07,WEEKENDS/HOLIDAY,14,BUS,43141,369,382
2026-07,WEEKDAY,12,BUS,68171,102,28
2026-07,WEEKDAY,17,BUS,28281,3982,3517
2026-07,WEEKDAY,21,BUS,72031,282,1231
2026-07,WEEKDAY,14,BUS,83311,474,412
2026-07,WEEKDAY,21,BUS,46451,50,290
2026-07,WEEKENDS/HOLIDAY,13,BUS,77129,81,50
2026-07,WEEKENDS/HOLIDAY,1,BUS,70371,4,11
2026-07,WEEKENDS/HOLIDAY,23,BUS,82151,37,97
2026-07,WEEKDAY,23,BUS,25329,4,0
2026-07,WEEKENDS/HOLIDAY,10,BUS,52039,375,370
2026-07,WEEKDAY,15,BUS,49151,72,1
2026-07,WEEKENDS/HOLIDAY,5,BUS,96259,14,20
2026-07,WEEKDAY,14,BUS,43539,1252,1143
2026-07,WEEKENDS/HOLIDAY,8,BUS,59501,202,38
2026-07,WEEKENDS/HOLIDAY,9,BUS,55181,197,245
2026-07,WEEKDAY,14,BUS,15121,91,10
2026-07,WEEKENDS/HOLIDAY,8,BUS,77139,115,4
2026-07,WEEKDAY,7,BUS,33019,1,12
2026-07,WEEKENDS/HOLIDAY,22,BUS,45039,5,8
2026-07,WEEKENDS/HOLIDAY,14,BUS,67409,5263,2849
2026-07,WEEKDAY,15,BUS,94071,317,140
2026-07,WEEKDAY,22,BUS,51091,159,260
2026-07,WEEKENDS/HOLIDAY,5,BUS,44531,55,183
2026-07,WEEKENDS/HOLIDAY,21,BUS,67111,63,97
2026-07,WEEKDAY,6,BUS,10289,240,357
2026-07,WEEKENDS/HOLIDAY,18,BUS,64609,210,422
2026-07,WEEKENDS/HOLIDAY,19,BUS,52429,294,183
2026-07,WEEKENDS/HOLIDAY,5,BUS,16221,1,0
2026-07,WEEKENDS/HOLIDAY,10,BUS,11561,17,66
2026-07,WEEKDAY,17,BUS,58431,130,443
