YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-08,WEEKENDS/HOLIDAY,9,TRAIN,CC12,5294,2250
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,CC24,4941,6891
2026-08,WEEKDAY,5,TRAIN,SW1,294,144
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,PE5,3250,3385
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,TE8,8981,6685
2026-08,WEEKDAY,11,TRAIN,SW6,2254,1467
2026-08,WEEKDAY,9,TRAIN,CC32,1319,6648
2026-08,WEEKDAY,18,TRAIN,EW3,32230,54239
2026-08,WEEKENDS/HOLIDAY,6,TRAIN,SW2,668,391
2026-08,WEEKDAY,14,TRAIN,CC20,9440,5604
2026-08,WEEKDAY,22,TRAIN,EW20,4742,10636
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,TE19,3235,2183
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,DT24,2802,3000
2026-08,WEEKENDS/HOLIDAY,7,TRAIN,NS23,1926,7692
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,TE28,3007,2115
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,12216,12956
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,CC23,58,46
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,SW4,1175,2357
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,TE14/NS22,57859,70729
2026-08,WEEKENDS/HOLIDAY,12,TRAIN,PE7,3188,2240
2026-08,WEEKDAY,17,TRAIN,BP10,3453,6144
2026-08,WEEKDAY,8,TRAIN,NS13,139916,47449
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,BP8,1162,1156
2026-08,WEEKDAY,13,TRAIN,EW7,12637,12912
2026-08,WEEKDAY,11,TRAIN,CC8,7303,4420
2026-08,WEEKENDS/HOLIDAY,7,TRAIN,TE22,313,1932
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,CC6,7076,9217
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,CC21,7689,8414
2026-08,WEEKENDS/HOLIDAY,0,TRAIN,TE19,102,116
2026-08,WEEKDAY,11,TRAIN,EW31,1699,929
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,PW6,906,856
2026-08,WEEKDAY,14,TRAIN,EW26,24620,21151
2026-08,WEEKDAY,6,TRAIN,CC20,4986,4819
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,DT2,860,1155
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,PW7,2115,2184
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,EW31,1012,188
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,NE8,9032,5603
2026-08,WEEKDAY,6,TRAIN,DT21,1704,3014
2026-08,WEEKDAY,21,TRAIN,EW6,5723,16694
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,BP11,1749,1878
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,TE23,4588,1442
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,TE18,12988,8635
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,DT22,8303,12425
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,NS13,29375,40153
2026-08,WEEKDAY,19,TRAIN,TE16,11468,12419
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,NS28,4949,3200
2026-08,WEEKDAY,21,TRAIN,BP2,863,3701
2026-08,WEEKENDS/HOLIDAY,6,TRAIN,EW19,3475,1760
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,NE9,12693,14002
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,TE6,9662,3434
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,NS21/DT11,385,180
2026-08,WEEKDAY,10,TRAIN,CC31,2284,1231
2026-08,WEEKENDS/HOLIDAY,15,TRAIN,CC6,7535,20930
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,EW8/CC9,48478,40561
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,SE5,1653,1715
2026-08,WEEKDAY,20,TRAIN,SE5,986,4270
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,SW3,52,365
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,TE7,4269,3188
2026-08,WEEKDAY,10,TRAIN,DT4,2933,782
2026-08,WEEKDAY,15,TRAIN,DT28,6956,6715
2026-08,WEEKDAY,8,TRAIN,TE12,7348,23595
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,EW4,7852,10521
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,13930,11298
2026-08,WEEKENDS/HOLIDAY,12,TRAIN,EW3,11289,8683
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,DT31,5170,4176
2026-08,WEEKDAY,10,TRAIN,EW10,10543,5810
2026-08,WEEKDAY,8,TRAIN,NS18,43122,23910
2026-08,WEEKDAY,18,TRAIN,BP7,1184,3352
2026-08,WEEKDAY,17,TRAIN,SW4,2867,4711
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,SW4,2033,1826
2026-08,WEEKENDS/HOLIDAY,7,TRAIN,NS17/CC15,12680,5460
2026-08,WEEKDAY,14,TRAIN,CC25,4914,5195
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,PE1,2345,2271
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,TE4,4116,4195
2026-08,WEEKDAY,17,TRAIN,EW30,27030,1598
2026-08,WEEKDAY,19,TRAIN,PE4,1646,3921
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,NS17/CC15,6488,12974
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,EW11,3865,4884
2026-08,WEEKDAY,20,TRAIN,EW23,45263,55100
2026-08,WEEKDAY,15,TRAIN,CC7,6478,5594
2026-08,WEEKENDS/HOLIDAY,6,TRAIN,EW12/DT14,5631,7027
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,CC16,1746,3379
2026-08,WEEKDAY,12,TRAIN,EW17,23015,25331
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,TE26,103,1
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,CC30,175,167
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,NS15,3327,7299
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,BP9,1034,1356
2026-08,WEEKDAY,20,TRAIN,CC25,5474,7277
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,EW19,1211,4266
2026-08,WEEKDAY,7,TRAIN,SW1,4918,2317
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,DT31,5399,2963
2026-08,WEEKDAY,23,TRAIN,NE18,1994,2903
2026-08,WEEKDAY,7,TRAIN,PW1,710,2227
2026-08,WEEKDAY,7,TRAIN,BP4,6822,8552
2026-08,WEEKDAY,16,TRAIN,TE15,11578,14031
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,BP10,353,1634
2026-08,WEEKDAY,23,TRAIN,DT17,4373,776
2026-08,WEEKENDS/HOLIDAY,0,TRAIN,EW29,14,440
2026-08,WEEKDAY,21,TRAIN,EW16/NE3/TE17,36850,14449
2026-08,WEEKDAY,23,TRAIN,NE17/PTC,5647,16986
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,NE8,300,29
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,CC23,1825,2835
2026-08,WEEKDAY,14,TRAIN,CC3,6894,6130
2026-08,WEEKDAY,13,TRAIN,TE22,2469,4811
2026-08,WEEKDAY,6,TRAIN,PW6,4603,717
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,BP3,2147,2215
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,EW15,4451,1934
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,NE8,23463,28968
2026-08,WEEKDAY,6,TRAIN,BP6/DT1,57614,25440
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,PE4,673,1222
2026-08,WEEKDAY,14,TRAIN,EW22,17378,11091
2026-08,WEEKDAY,9,TRAIN,PE4,3091,821
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,TE5,4070,4033
2026-08,WEEKDAY,17,TRAIN,DT6,20640,11347
2026-08,WEEKDAY,17,TRAIN,CC2,12540,4707
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,BP11,337,1818
2026-08,WEEKDAY,10,TRAIN,EW7,14397,8535
2026-08,WEEKENDS/HOLIDAY,7,TRAIN,CC20,1582,1841
2026-08,WEEKDAY,11,TRAIN,TE15,7921,10597
2026-08,WEEKDAY,14,TRAIN,SE1,7020,4661
2026-08,WEEKENDS/HOLIDAY,9,TRAIN,CC19/DT9,3761,6664
2026-08,WEEKDAY,22,TRAIN,TE1,2994,2540
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,NS24/NE6/CC1,30369,20894
2026-08,WEEKDAY,8,TRAIN,PE1,10735,1766
2026-08,WEEKDAY,14,TRAIN,TE11,7918,3767
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,DT33,9587,6772
2026-08,WEEKDAY,5,TRAIN,NS25/EW13,604,879
2026-08,WEEKDAY,20,TRAIN,SE4,1755,5309
2026-08,WEEKDAY,13,TRAIN,NS16,37733,34505
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,EW21/CC22,17231,13445
2026-08,WEEKENDS/HOLIDAY,15,TRAIN,CC26,2035,1639
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,EW20,7167,6738
2026-08,WEEKDAY,11,TRAIN,TE8,7899,8721
2026-08,WEEKENDS/HOLIDAY,0,TRAIN,DT5,92,1036
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,DT28,6475,5119
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,DT21,4808,4993
2026-08,WEEKDAY,8,TRAIN,TE14/NS22,26708,129081
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,EW12/DT14,57888,51629
2026-08,WEEKDAY,13,TRAIN,EW18,16173,15951
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,TE15,8023,7656
2026-08,WEEKDAY,18,TRAIN,TE19,96743,7614
2026-08,WEEKENDS/HOLIDAY,0,TRAIN,DT21,160,361
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,TE14/NS22,34410,75775
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,CC17/TE9,4331,2499
2026-08,WEEKDAY,9,TRAIN,EW25,22845,5592
2026-08,WEEKDAY,6,TRAIN,CG2,11804,11085
2026-08,WEEKDAY,10,TRAIN,EW29,4253,5997
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,NS9/TE2,32837,43028
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,TE23,15155,2065
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,DT29,4702,1812
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,NS28,4465,3161
2026-08,WEEKENDS/HOLIDAY,12,TRAIN,DT20,3394,3559
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,SE4,3439,1805
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,TE16,2894,6071
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,NS24/NE6/CC1,33320,25263
2026-08,WEEKDAY,10,TRAIN,TE28,4782,2094
2026-08,WEEKDAY,10,TRAIN,NS18,16532,8593
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,CC21,7806,8191
2026-08,WEEKDAY,9,TRAIN,CG1/DT35,2923,62247
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,BP4,1086,549
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,NS12,1930,334
2026-08,WEEKDAY,14,TRAIN,NS21/DT11,50171,56690
2026-08,WEEKDAY,15,TRAIN,EW26,23454,24564
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,CC26,1013,1387
2026-08,WEEKDAY,8,TRAIN,CC16,19296,22079
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,BP9,945,1447
2026-08,WEEKDAY,5,TRAIN,EW18,2321,641
2026-08,WEEKENDS/HOLIDAY,15,TRAIN,SE1,2157,2546
2026-08,WEEKDAY,12,TRAIN,CC27,7834,5539
2026-08,WEEKDAY,19,TRAIN,CC19/DT9,9263,9236
2026-08,WEEKDAY,15,TRAIN,DT3,7808,6315
2026-08,WEEKENDS/HOLIDAY,0,TRAIN,CC12,27,494
2026-08,WEEKDAY,12,TRAIN,DT18,15687,20947
2026-08,WEEKDAY,15,TRAIN,DT30,5777,7817
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,NE13,9637,13814
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,TE6,6407,8560
2026-08,WEEKDAY,21,TRAIN,PE5,1487,8009
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,NS2,3226,504
2026-08,WEEKENDS/HOLIDAY,15,TRAIN,EW4,8431,8351
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,TE15,1256,1155
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,PE7,2637,2517
2026-08,WEEKDAY,6,TRAIN,NE15,39165,6139
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,CC25,1961,4031
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,CC28,3327,1413
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,EW19,10497,10635
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,DT10,2536,1750
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,BP3,802,57
2026-08,WEEKDAY,17,TRAIN,CG1/DT35,51795,10202
2026-08,WEEKDAY,18,TRAIN,NS25/EW13,132777,103522
2026-08,WEEKENDS/HOLIDAY,9,TRAIN,NE7/DT12,10673,22736
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,EW16/NE3/TE17,17565,12299
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,NS11,7720,27105
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,NS25/EW13,52926,10254
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,EW25,10650,11453
2026-08,WEEKENDS/HOLIDAY,0,TRAIN,EW32,0,865
2026-08,WEEKDAY,21,TRAIN,TE18,17182,5842
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,EW20,7485,7171
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,PW1,152,48
2026-08,WEEKDAY,20,TRAIN,CC27,11006,1401
2026-08,WEEKDAY,15,TRAIN,EW5,24291,30583
2026-08,WEEKDAY,13,TRAIN,NE10,18097,14948
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,SW5,3203,4441
2026-08,WEEKENDS/HOLIDAY,9,TRAIN,EW1,21003,8477
2026-08,WEEKDAY,0,TRAIN,SW5,103,996
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,TE3,496,3818
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,TE26,11356,9924
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,CC11,3601,3963
2026-08,WEEKDAY,6,TRAIN,TE18,1544,3489
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,EW6,8324,5262
2026-08,WEEKDAY,8,TRAIN,SW3,4772,1038
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,DT6,330,1156
2026-08,WEEKDAY,5,TRAIN,DT10,101,93
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,NE12/CC13,2018,189
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,CC8,4969,4407
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,CC21,4554,7916
2026-08,WEEKDAY,21,TRAIN,NE11,13594,14854
2026-08,WEEKDAY,15,TRAIN,SW7,1062,2045
2026-08,WEEKDAY,12,TRAIN,TE26,12683,13981
2026-08,WEEKDAY,17,TRAIN,SE3,2539,5088
2026-08,WEEKDAY,0,TRAIN,DT22,299,666
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,NE13,1997,6477
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,NS12,11343,11494
2026-08,WEEKDAY,9,TRAIN,CC16,10626,12284
2026-08,WEEKDAY,19,TRAIN,DT21,18079,12526
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,EW5,18738,25024
2026-08,WEEKDAY,16,TRAIN,NS24/NE6/CC1,45140,32174
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,TE22,1458,332
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,DT20,3041,3563
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,EW21/CC22,10620,9877
2026-08,WEEKDAY,11,TRAIN,EW24/NS1,34313,65620
2026-08,WEEKDAY,8,TRAIN,DT21,11517,25706
2026-08,WEEKDAY,9,TRAIN,SE3,7200,1368
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,DT2,1275,1486
2026-08,WEEKDAY,21,TRAIN,NS18,6712,22846
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,CG2,20917,18122
2026-08,WEEKDAY,8,TRAIN,DT7,9162,14573
2026-08,WEEKDAY,10,TRAIN,BP5,1864,1338
2026-08,WEEKENDS/HOLIDAY,6,TRAIN,TE13,440,867
2026-08,WEEKDAY,12,TRAIN,TE27,7019,4709
2026-08,WEEKENDS/HOLIDAY,0,TRAIN,CC16,33,212
2026-08,WEEKENDS/HOLIDAY,20,TRAIN,DT17,4492,3641
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,DT34,67,1
2026-08,WEEKENDS/HOLIDAY,7,TRAIN,TE4,1870,2383
2026-08,WEEKDAY,23,TRAIN,DT20,3154,1759
2026-08,WEEKDAY,17,TRAIN,EW12/DT14,118109,72514
2026-08,WEEKDAY,13,TRAIN,PW2,188,225
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,CC10/DT26,10802,7042
2026-08,WEEKENDS/HOLIDAY,14,TRAIN,TE1,2310,1459
2026-08,WEEKDAY,7,TRAIN,CG2,15328,23220
2026-08,WEEKDAY,5,TRAIN,DT34,832,19
2026-08,WEEKENDS/HOLIDAY,6,TRAIN,TE24,468,262
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,EW7,10487,6453
2026-08,WEEKDAY,12,TRAIN,NS21/DT11,57163,49208
2026-08,WEEKDAY,23,TRAIN,SW8,98,674
2026-08,WEEKDAY,23,TRAIN,EW28,3267,15394
2026-08,WEEKDAY,10,TRAIN,DT27,8273,7217
2026-08,WEEKDAY,22,TRAIN,DT25,1876,4680
2026-08,WEEKDAY,18,TRAIN,TE5,13472,23213
2026-08,WEEKDAY,23,TRAIN,CC10/DT26,2809,8195
2026-08,WEEKENDS/HOLIDAY,21,TRAIN,EW8/CC9,30832,20356
2026-08,WEEKDAY,17,TRAIN,CC31,3750,3690
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,TE19,3551,2341
2026-08,WEEKDAY,21,TRAIN,EW21/CC22,30186,15865
2026-08,WEEKENDS/HOLIDAY,6,TRAIN,EW4,4608,2620
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,TE26,5401,3999
2026-08,WEEKDAY,20,TRAIN,EW15,62998,12309
2026-08,WEEKENDS/HOLIDAY,6,TRAIN,BP2,1057,170
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,EW30,1111,494
2026-08,WEEKENDS/HOLIDAY,11,TRAIN,NE15,18527,10276
2026-08,WEEKDAY,23,TRAIN,BP13,37,306
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,SW4,179,1095
2026-08,WEEKENDS/HOLIDAY,10,TRAIN,DT27,5372,3364
2026-08,WEEKENDS/HOLIDAY,8,TRAIN,TE28,2420,981
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,SW6,105,991
2026-08,WEEKENDS/HOLIDAY,15,TRAIN,BP3,2001,2155
2026-08,WEEKDAY,16,TRAIN,PW6,1818,1996
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,EW21/CC22,10438,6997
2026-08,WEEKDAY,6,TRAIN,TE24,2460,1030
2026-08,WEEKDAY,19,TRAIN,CC5,8855,6226
2026-08,WEEKDAY,11,TRAIN,NS16,35473,28129
2026-08,WEEKENDS/HOLIDAY,13,TRAIN,NE1/CC29,27708,51159
2026-08,WEEKENDS/HOLIDAY,5,TRAIN,TE22,10,0
2026-08,WEEKDAY,20,TRAIN,NS23,59505,26014
2026-08,WEEKDAY,14,TRAIN,PE6,7732,10565
2026-08,WEEKENDS/HOLIDAY,19,TRAIN,EW32,4742,5629
2026-08,WEEKDAY,14,TRAIN,TE29,2734,3806
2026-08,WEEKDAY,17,TRAIN,NE17/PTC,56575,83085
2026-08,WEEKDAY,9,TRAIN,BP8,1764,2075
2026-08,WEEKDAY,10,TRAIN,TE12,5181,7692
2026-08,WEEKDAY,0,TRAIN,DT33,21,2602
2026-08,WEEKENDS/HOLIDAY,22,TRAIN,NS16,10017,27874
2026-08,WEEKENDS/HOLIDAY,16,TRAIN,TE26,12925,11443
2026-08,WEEKENDS/HOLIDAY,17,TRAIN,TE27,4140,4547
2026-08,WEEKENDS/HOLIDAY,23,TRAIN,NS11,3025,17148
2026-08,WEEKENDS/HOLIDAY,18,TRAIN,DT31,4834,5594
2026-08,WEEKENDS/HOLIDAY,8,TRAIN,CC25,2414,2755
2026-08,WEEKDAY,18,TRAIN,EW15,209492,53421
